"Query","QueryPath","Custom","PCI DSS v3.2","OWASP Top 10 2013","FISMA 2014","NIST SP 800-53","OWASP Top 10 2017","OWASP Mobile Top 10 2016","SrcFileName","Line","Column","NodeId","Name","DestFileName","DestLine","DestColumn","DestNodeId","DestName","Result State","Result Severity","Assigned To","Comment","Link","Result Status"
"Reflected XSS All Clients","Java\Cx\Java High Risk\Reflected XSS All Clients Version:3","","PCI DSS (3.2) - 6.5.7 - Cross-site scripting (XSS)","A3-Cross-Site Scripting (XSS)","System And Information Integrity","SI-15 Information Output Filtering (P0)","A7-Cross-Site Scripting (XSS)","","WebGoat-8.0.0.M23/webgoat-lessons/cross-site-scripting/src/main/java/org/owasp/webgoat/plugin/CrossSiteScriptingLesson5a.java","58","62","1","field1","WebGoat-8.0.0.M23/webgoat-lessons/cross-site-scripting/src/main/java/org/owasp/webgoat/plugin/CrossSiteScriptingLesson5a.java","79","24","29","trackProgress","To Verify","High","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=419","New"
"Reflected XSS All Clients","Java\Cx\Java High Risk\Reflected XSS All Clients Version:3","","PCI DSS (3.2) - 6.5.7 - Cross-site scripting (XSS)","A3-Cross-Site Scripting (XSS)","System And Information Integrity","SI-15 Information Output Filtering (P0)","A7-Cross-Site Scripting (XSS)","","WebGoat-8.0.0.M23/webgoat-lessons/cross-site-scripting/src/main/java/org/owasp/webgoat/plugin/CrossSiteScriptingLesson5a.java","58","62","1","field1","WebGoat-8.0.0.M23/webgoat-lessons/cross-site-scripting/src/main/java/org/owasp/webgoat/plugin/CrossSiteScriptingLesson5a.java","85","24","29","trackProgress","To Verify","High","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=420","New"
"Reflected XSS All Clients","Java\Cx\Java High Risk\Reflected XSS All Clients Version:3","","PCI DSS (3.2) - 6.5.7 - Cross-site scripting (XSS)","A3-Cross-Site Scripting (XSS)","System And Information Integrity","SI-15 Information Output Filtering (P0)","A7-Cross-Site Scripting (XSS)","","WebGoat-8.0.0.M23/webgoat-lessons/http-basics/src/main/java/org/owasp/webgoat/plugin/HttpBasicsLesson.java","54","49","1","person","WebGoat-8.0.0.M23/webgoat-lessons/http-basics/src/main/java/org/owasp/webgoat/plugin/HttpBasicsLesson.java","56","33","26","trackProgress","To Verify","High","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=421","New"
"Reflected XSS All Clients","Java\Cx\Java High Risk\Reflected XSS All Clients Version:3","","PCI DSS (3.2) - 6.5.7 - Cross-site scripting (XSS)","A3-Cross-Site Scripting (XSS)","System And Information Integrity","SI-15 Information Output Filtering (P0)","A7-Cross-Site Scripting (XSS)","","WebGoat-8.0.0.M23/webgoat-lessons/password-reset/src/main/java/org/owasp/webgoat/plugin/QuestionsAssignment.java","39","73","1","json","WebGoat-8.0.0.M23/webgoat-lessons/password-reset/src/main/java/org/owasp/webgoat/plugin/QuestionsAssignment.java","49","33","28","trackProgress","To Verify","High","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=422","New"
"Reflected XSS All Clients","Java\Cx\Java High Risk\Reflected XSS All Clients Version:3","","PCI DSS (3.2) - 6.5.7 - Cross-site scripting (XSS)","A3-Cross-Site Scripting (XSS)","System And Information Integrity","SI-15 Information Output Filtering (P0)","A7-Cross-Site Scripting (XSS)","","WebGoat-8.0.0.M23/webgoat-lessons/password-reset/src/main/java/org/owasp/webgoat/plugin/ResetLinkAssignment.java","60","68","1","email","WebGoat-8.0.0.M23/webgoat-lessons/password-reset/src/main/java/org/owasp/webgoat/plugin/ResetLinkAssignment.java","72","74","17","build","To Verify","High","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=423","New"
"Reflected XSS All Clients","Java\Cx\Java High Risk\Reflected XSS All Clients Version:3","","PCI DSS (3.2) - 6.5.7 - Cross-site scripting (XSS)","A3-Cross-Site Scripting (XSS)","System And Information Integrity","SI-15 Information Output Filtering (P0)","A7-Cross-Site Scripting (XSS)","","WebGoat-8.0.0.M23/webgoat-lessons/password-reset/src/main/java/org/owasp/webgoat/plugin/SimpleMailAssignment.java","50","60","1","emailReset","WebGoat-8.0.0.M23/webgoat-lessons/password-reset/src/main/java/org/owasp/webgoat/plugin/SimpleMailAssignment.java","52","25","24","sendEmail","To Verify","High","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=424","New"
"Reflected XSS All Clients","Java\Cx\Java High Risk\Reflected XSS All Clients Version:3","","PCI DSS (3.2) - 6.5.7 - Cross-site scripting (XSS)","A3-Cross-Site Scripting (XSS)","System And Information Integrity","SI-15 Information Output Filtering (P0)","A7-Cross-Site Scripting (XSS)","","WebGoat-8.0.0.M23/webgoat-lessons/vulnerable-components/src/main/java/org/owasp/webgoat/plugin/VulnerableComponentsLesson.java","53","67","1","payload","WebGoat-8.0.0.M23/webgoat-lessons/vulnerable-components/src/main/java/org/owasp/webgoat/plugin/VulnerableComponentsLesson.java","87","33","25","trackProgress","To Verify","High","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=425","New"
"Reflected XSS All Clients","Java\Cx\Java High Risk\Reflected XSS All Clients Version:3","","PCI DSS (3.2) - 6.5.7 - Cross-site scripting (XSS)","A3-Cross-Site Scripting (XSS)","System And Information Integrity","SI-15 Information Output Filtering (P0)","A7-Cross-Site Scripting (XSS)","","WebGoat-8.0.0.M23/webgoat-lessons/webwolf-introduction/src/main/java/org/owasp/webgoat/plugin/MailAssignment.java","33","56","1","email","WebGoat-8.0.0.M23/webgoat-lessons/webwolf-introduction/src/main/java/org/owasp/webgoat/plugin/MailAssignment.java","48","97","19","build","To Verify","High","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=426","New"
"Reflected XSS All Clients","Java\Cx\Java High Risk\Reflected XSS All Clients Version:3","","PCI DSS (3.2) - 6.5.7 - Cross-site scripting (XSS)","A3-Cross-Site Scripting (XSS)","System And Information Integrity","SI-15 Information Output Filtering (P0)","A7-Cross-Site Scripting (XSS)","","WebGoat-8.0.0.M23/webgoat-lessons/webwolf-introduction/src/main/java/org/owasp/webgoat/plugin/MailAssignment.java","33","56","1","email","WebGoat-8.0.0.M23/webgoat-lessons/webwolf-introduction/src/main/java/org/owasp/webgoat/plugin/MailAssignment.java","50","104","22","build","To Verify","High","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=427","New"
"Reflected XSS All Clients","Java\Cx\Java High Risk\Reflected XSS All Clients Version:3","","PCI DSS (3.2) - 6.5.7 - Cross-site scripting (XSS)","A3-Cross-Site Scripting (XSS)","System And Information Integrity","SI-15 Information Output Filtering (P0)","A7-Cross-Site Scripting (XSS)","","WebGoat-8.0.0.M23/webgoat-lessons/webwolf-introduction/src/main/java/org/owasp/webgoat/plugin/MailAssignment.java","56","56","1","uniqueCode","WebGoat-8.0.0.M23/webgoat-lessons/webwolf-introduction/src/main/java/org/owasp/webgoat/plugin/MailAssignment.java","60","33","23","trackProgress","To Verify","High","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=428","New"
"Reflected XSS All Clients","Java\Cx\Java High Risk\Reflected XSS All Clients Version:3","","PCI DSS (3.2) - 6.5.7 - Cross-site scripting (XSS)","A3-Cross-Site Scripting (XSS)","System And Information Integrity","SI-15 Information Output Filtering (P0)","A7-Cross-Site Scripting (XSS)","","WebGoat-8.0.0.M23/webgoat-lessons/challenge/src/main/java/org/owasp/webgoat/plugin/challenge5/challenge6/Assignment5.java","38","52","1","username_login","WebGoat-8.0.0.M23/webgoat-lessons/challenge/src/main/java/org/owasp/webgoat/plugin/challenge5/challenge6/Assignment5.java","46","90","17","build","To Verify","High","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=429","New"
"Reflected XSS All Clients","Java\Cx\Java High Risk\Reflected XSS All Clients Version:3","","PCI DSS (3.2) - 6.5.7 - Cross-site scripting (XSS)","A3-Cross-Site Scripting (XSS)","System And Information Integrity","SI-15 Information Output Filtering (P0)","A7-Cross-Site Scripting (XSS)","","WebGoat-8.0.0.M23/webgoat-lessons/challenge/src/main/java/org/owasp/webgoat/plugin/challenge6/Assignment6.java","43","62","1","username_reg","WebGoat-8.0.0.M23/webgoat-lessons/challenge/src/main/java/org/owasp/webgoat/plugin/challenge6/Assignment6.java","65","16","19","attackResult","To Verify","High","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=430","New"
"Reflected XSS All Clients","Java\Cx\Java High Risk\Reflected XSS All Clients Version:3","","PCI DSS (3.2) - 6.5.7 - Cross-site scripting (XSS)","A3-Cross-Site Scripting (XSS)","System And Information Integrity","SI-15 Information Output Filtering (P0)","A7-Cross-Site Scripting (XSS)","","WebGoat-8.0.0.M23/webgoat-lessons/challenge/src/main/java/org/owasp/webgoat/plugin/challenge7/Assignment7.java","63","68","1","email","WebGoat-8.0.0.M23/webgoat-lessons/challenge/src/main/java/org/owasp/webgoat/plugin/challenge7/Assignment7.java","77","74","17","build","To Verify","High","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=431","New"
"Reflected XSS All Clients","Java\Cx\Java High Risk\Reflected XSS All Clients Version:3","","PCI DSS (3.2) - 6.5.7 - Cross-site scripting (XSS)","A3-Cross-Site Scripting (XSS)","System And Information Integrity","SI-15 Information Output Filtering (P0)","A7-Cross-Site Scripting (XSS)","","WebGoat-8.0.0.M23/webgoat-lessons/sql-injection/src/main/java/org/owasp/webgoat/plugin/advanced/SqlInjectionChallenge.java","42","62","1","username_reg","WebGoat-8.0.0.M23/webgoat-lessons/sql-injection/src/main/java/org/owasp/webgoat/plugin/advanced/SqlInjectionChallenge.java","64","16","19","attackResult","To Verify","High","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=432","New"
"SQL Injection","Java\Cx\Java High Risk\SQL Injection Version:1","","PCI DSS (3.2) - 6.5.1 - Injection flaws - particularly SQL injection","A1-Injection","System And Information Integrity","SI-10 Information Input Validation (P1)","A1-Injection","M7-Client Code Quality","WebGoat-8.0.0.M23/webgoat-lessons/challenge/src/main/java/org/owasp/webgoat/plugin/challenge6/Assignment6.java","43","62","1","username_reg","WebGoat-8.0.0.M23/webgoat-lessons/challenge/src/main/java/org/owasp/webgoat/plugin/challenge6/Assignment6.java","52","57","5","executeQuery","To Verify","High","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=433","New"
"SQL Injection","Java\Cx\Java High Risk\SQL Injection Version:1","","PCI DSS (3.2) - 6.5.1 - Injection flaws - particularly SQL injection","A1-Injection","System And Information Integrity","SI-10 Information Input Validation (P1)","A1-Injection","M7-Client Code Quality","WebGoat-8.0.0.M23/webgoat-lessons/sql-injection/src/main/java/org/owasp/webgoat/plugin/advanced/SqlInjectionChallenge.java","42","62","1","username_reg","WebGoat-8.0.0.M23/webgoat-lessons/sql-injection/src/main/java/org/owasp/webgoat/plugin/advanced/SqlInjectionChallenge.java","51","57","5","executeQuery","To Verify","High","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=434","New"
"SQL Injection","Java\Cx\Java High Risk\SQL Injection Version:1","","PCI DSS (3.2) - 6.5.1 - Injection flaws - particularly SQL injection","A1-Injection","System And Information Integrity","SI-10 Information Input Validation (P1)","A1-Injection","M7-Client Code Quality","WebGoat-8.0.0.M23/webgoat-lessons/sql-injection/src/main/java/org/owasp/webgoat/plugin/advanced/SqlInjectionLesson6a.java","56","49","1","userid_6a","WebGoat-8.0.0.M23/webgoat-lessons/sql-injection/src/main/java/org/owasp/webgoat/plugin/advanced/SqlInjectionLesson6a.java","69","59","7","executeQuery","To Verify","High","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=435","New"
"SQL Injection","Java\Cx\Java High Risk\SQL Injection Version:1","","PCI DSS (3.2) - 6.5.1 - Injection flaws - particularly SQL injection","A1-Injection","System And Information Integrity","SI-10 Information Input Validation (P1)","A1-Injection","M7-Client Code Quality","WebGoat-8.0.0.M23/webgoat-lessons/sql-injection/src/main/java/org/owasp/webgoat/plugin/introduction/SqlInjectionLesson5a.java","55","49","1","account","WebGoat-8.0.0.M23/webgoat-lessons/sql-injection/src/main/java/org/owasp/webgoat/plugin/introduction/SqlInjectionLesson5a.java","67","59","7","executeQuery","To Verify","High","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=436","New"
"SQL Injection","Java\Cx\Java High Risk\SQL Injection Version:1","","PCI DSS (3.2) - 6.5.1 - Injection flaws - particularly SQL injection","A1-Injection","System And Information Integrity","SI-10 Information Input Validation (P1)","A1-Injection","M7-Client Code Quality","WebGoat-8.0.0.M23/webgoat-lessons/sql-injection/src/main/java/org/owasp/webgoat/plugin/introduction/SqlInjectionLesson5b.java","56","49","1","userid","WebGoat-8.0.0.M23/webgoat-lessons/sql-injection/src/main/java/org/owasp/webgoat/plugin/introduction/SqlInjectionLesson5b.java","69","59","7","executeQuery","To Verify","High","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=437","New"
